system,IncLing_priority,IncLing_random,IncLing_dissim,IncLing_lotcp,IncLing_lotcp2,IncLing_lotcp1,IncLing_lotcp0,IncLing_total,IncLing_additional,IncLing_unified
apache-2.4.3,1.17,2.79,2.92,1.67,1.67,1.67,1.67,1.92,1.92,1.83
bash-4.2,7.00,3.90,6.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
bison-2.0,1.00,2.40,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
busybox-1.23.1,5.00,3.89,4.22,4.33,4.33,4.33,4.33,3.33,3.67,3.89
cherokee-1.2.101,1.00,2.17,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
cvs-1.11.17,1.00,2.40,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
dia-0.97.2,1.50,2.59,3.50,1.75,1.75,1.75,1.75,1.50,1.50,2.25
firefox-32.0.1,3.00,2.68,3.00,3.00,3.00,3.00,3.00,3.50,3.50,3.00
fvwm-2.4.15,1.00,1.65,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
gcc-4.9.2,1.50,2.27,1.50,2.50,2.50,2.50,2.50,3.50,3.00,2.50
gnuplot-4.6.1,1.14,2.51,2.14,1.57,1.57,1.57,1.57,1.43,1.43,1.43
irssi-0.8.15,1.00,1.83,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
libpng-1.5.14,2.00,2.81,3.67,2.67,2.67,2.67,2.67,4.33,4.00,2.67
libssh-0.5.3,2.00,2.34,1.40,2.60,2.60,2.60,2.60,4.00,4.00,3.20
libxml2-2.9.0,1.00,2.20,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
lighttpd-1.4.30,1.00,1.77,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
linux-3.18.5,1.11,2.69,1.89,1.11,1.11,1.11,1.11,1.11,1.11,1.11
lua-5.2.1,2.00,1.77,1.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
totem-2.17.5,1.00,1.73,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
vim-6.0,4.83,4.36,3.33,4.83,4.83,4.83,4.83,4.50,3.83,5.83
xfig-3.2.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
xterm-224,2.33,3.54,3.00,2.67,2.67,2.67,2.67,2.33,2.33,2.67
